x,f(x),f'(x),f''(x),f'''(x)
-3.0,1.2340980408667956e-4,7.404588245200774e-4,4.1959333389471045e-3,2.221376473560232e-2
-2.969849246231156,1.477476886670629e-4,8.775767236405445e-4,4.917045765093632e-3,2.569546242373266e-2
-2.9396984924623117,1.765639849036358e-4,1.038089760488713e-3,5.7502138380911925e-3,2.9655430860390353e-2
-2.909547738693467,2.106172519062057e-4,1.2256018980270663e-3,6.710659958073733e-3,3.414756342020019e-2
-2.879396984924623,2.50781880959591e-4,1.4442011838175443e-3,7.815293306698435e-3,3.9229859231947946e-2
-2.849246231155779,2.9806347649918434e-4,1.6985124741209802e-3,9.082833577922193e-3,4.496440878373601e-2
-2.819095477386935,3.5361588285843826e-4,1.993753872196823e-3,1.0533933282548629e-2,5.14173118630698e-2
-2.7889447236180906,4.187599678040287e-4,2.335796805339055e-3,1.219129641578064e-2,5.865851640435489e-2
-2.758793969849246,4.950042705413368e-4,2.7312295932381296e-3,1.4079790923115648e-2,6.676156621790669e-2
-2.728643216080402,5.840676162071174e-4,3.1874242773916057e-3,1.622655203013493e-2,7.58032451252403e-2
-2.698492462311558,6.879037905320632e-4,3.712606387092643e-3,1.8661073121134356e-2,8.586310476368118e-2
-2.6683417085427137,8.087283570077662e-4,4.315927211770089e-3,2.1415280466385647e-2,9.702286329011339e-2
-2.6381909547738696,9.490476841809446e-4,5.007538032110512e-3,2.45235877156383e-2,0.10936566245155904
-2.608040201005025,1.111690232275819e-3,5.7986656336799e-3,2.8022925705095278e-2,0.12297517104261153
-2.577889447236181,1.2998401258773522e-3,6.70168828718675e-3,3.195274277665537e-2,0.137934523679637
-2.5477386934673367,1.5170730125778373e-3,7.730211229919231e-3,3.6354970493126235e-2,0.15432508513072507
-2.5175879396984926,1.7673941760113787e-3,8.899140524439204e-3,4.127394936399776e-2,0.17222503218729726
-2.4874371859296485,2.0552788353318746e-3,1.0224754004917368e-2,4.6756308986965374e-2,0.1917077472823191
-2.457286432160804,2.385714521740569e-3,1.1724767850564203e-2,5.285079687537208e-2,0.21284002077922004
-2.4271356783919598,2.764245376017785e-3,1.3418397151925528e-2,5.9608050196507445e-2,0.23568006209494208
-2.3969849246231156,3.1970181591201075e-3,1.5326408662314486e-2,6.70803047061217e-2,0.2602753235901395
-2.3668341708542715,3.690829710825021e-3,1.7471163756769697e-2,7.532103534657636e-2,0.2866601454577199
-2.3366834170854274,4.253175529306798e-3,1.987664945856946e-2,8.4384523295505e-2,0.3148532346522531
-2.306532663316583,4.89229907770168e-3,2.2568495242865038e-2,9.432534472374289e-2,0.34485499619635884
-2.2763819095477387,5.617241352597007e-3,2.5573973193230595e-2,0.10519777715946386,0.3766447409279533
-2.2462311557788945,6.43789017453937e-3,2.8921978975066317e-2,0.11705512017207345,0.4101777998476426
-2.2160804020100504,7.365028582843579e-3,3.264299100536702e-2,0.12994892809428127,0.44538258160243177
-2.1859296482412063,8.410381637112052e-3,3.6769005147173295e-2,0.14392815370085515,0.48215761619393993
-2.1557788944723617,9.586660847033758e-3,4.133344224499982e-2,0.15903820316125833,0.5203686345996975
-2.1256281407035176,1.090760537149448e-2,4.637102585067503e-2,0.17531990417998125,0.5598457404981246
-2.0954773869346734,1.238801904924805e-2,5.1917627573230526e-2,0.19280839102750522,0.6003807365258685
-2.065326633165829,1.4043802247994735e-2,5.801007762739533e-2,0.21153191213576408,0.6417246732873937
-2.035175879396985,1.5891977448481226e-2,6.468593835813967e-2,0.2315105680683297,0.6835856944837583
-2.0050251256281406,1.7950707417115803e-2,7.198323878823322e-2,0.2527549899547639,0.7256272558214472
-1.9748743718592965,2.0239304766649844e-2,7.994016857581294e-2,0.27526497087167007,0.7674667985868622
-1.9447236180904524,2.277823166189228e-2,8.85947301824353e-2,0.29902806512448143,0.8086749607091968
-1.914572864321608,2.5589088398430503e-2,9.798434854072384e-2,0.32401817289173984,0.8487754085682894
-1.8844221105527639,2.869458956921602e-2,0.10814543807493475,0.35019413018921147,0.8872453715289476
-1.8542713567839195,3.21185265388928e-2,0.11911292756634616,0.3774983265401212,0.9235169580090345
-1.8241206030150754,3.58857149711072e-2,0.13091974406544638,0.40585537504026836,0.9569793266489424
-1.7939698492462313,4.002192620183011e-2,0.1435962578296819,0.4351708616184147,0.9869817787091524
-1.763819095477387,4.455380132385553e-2,0.15716969110224413,0.46533020214513005,1.0128378280828894
-1.7336683417085428,4.950874694579745e-2,0.1716634944351771,0.49619763756705937,1.0338302932204524
-1.7035175879396984,5.491481171446709e-2,0.18709669518798336,0.5276153983673105,1.0492174408211146
-1.6733668341708543,6.0800542843490644e-2,0.20348322378776265,0.5594030703062345,1.0582401944165483
-1.64321608040201,6.719482207401484e-2,0.22083122430354624,0.591357193512871,1.0601304020693205
-1.6130653266331658,7.412668070544191e-2,0.2391423568487121,0.6232511265131019,1.054120136531842
-1.5829145728643217,8.162509357489682e-2,0.2584111002622362,0.6548352056402004,1.039451978616011
-1.5527638190954773,8.971875213250953e-2,0.278624064411512,0.6858372284300283,1.0153902105436878
-1.5226130653266332,9.843581705392644e-2,0.2997593222848212,0.7159632870207987,0.9812328210848559
-1.4924623115577889,0.1078036511493896,0.321785772777575,0.7448989742332787,0.9363241988121499
-1.4623115577889447,0.11784853366719913,0.3446625457000497,0.7723109808938877,0.8800683643366987
-1.4321608040201006,0.12859535744467712,0.36833846102244205,0.7978490980895001,0.8119425675233729
-1.4020100502512562,0.14006731072743067,0.3927515547030468,0.821148632436094,0.73151105203877
-1.3718592964824121,0.152285545852697,0.417828683595842,0.8418332361505344,0.638438767818601
-1.3417085427135678,0.16526883736911194,0.4434852218849536,0.8595181468023048,0.5325047928241587
-1.3115577889447236,0.17903323253710465,0.4696248612279831,0.873813824177083,0.4136152094621246
-1.2814070351758795,0.19359169751452948,0.4961395262935178,0.8843299638136249,0.2818151689211489
-1.2512562814070352,0.20895376287394413,0.5229094166393174,0.8906798586057806,0.1372998690491558
-1.221105527638191,0.22512517241372942,0.5498031848898116,0.8924850715366037,-1.957583118341999e-2
-1.1909547738693467,0.24210753950745614,0.5766782599323327,0.889380374291247,-0.18828943463359682
-1.1608040201005025,0.25989801547698455,0.6033813223636526,0.8810188983526013,-0.3681447314701791
-1.1306532663316582,0.2784889746673584,0.6297489376900064,0.8670774374014784,-0.5582678772390948
-1.100502512562814,0.297867721038548,0.6556083508285628,0.8472618326108967,-0.7576058521405189
-1.07035175879397,0.31801622116396605,0.6807784432957263,0.8213123659332712,-0.9649275023910786
-1.0402010050251256,0.3389108685325171,0.705070852122925,0.7890090809193423,-1.178827330599199
-1.0100502512562815,0.36052228398473324,0.7282912470445365,0.7501769461607027,-1.3977321622655705
-0.9798994974874371,0.38281515697023677,0.7502407598914187,0.7046907732839148,-1.6199107703157916
-0.949748743718593,0.40574813209051214,0.7707175574382592,0.6524797996966741,-1.843486489625686
-0.9195979899497488,0.42927374508619437,0.7895185462389305,0.5935318461263478,-2.0664527996178155
-0.8894472361809047,0.45333841204165043,0.8064411952901723,0.5278969605032372,-2.28669179614488
-0.8592964824120601,0.4778824751129328,0.8212854597418241,0.4556904629987766,-2.501995415120153
-0.829145728643216,0.5028403075411699,0.8338557863748043,0.3770953120718581,-2.710089210907694
-0.7989949748743719,0.5281404800967359,0.8439631792500604,0.2923637182061223,-2.908658433635684
-0.7688442211055277,0.5537059904162777,0.8514273018461356,0.20181794059919111,-3.0953760926943286
-0.7386934673366836,0.579454555952717,0.8560785902015017,0.10585021231186031,-3.2679326401040623
-0.708542713567839,0.6052989704669393,0.8577603501089288,4.921751180281708e-3,-3.42406685856215
-0.6783919597989949,0.6311475231597804,0.8563308103172899,-0.10043917302474559,-3.561597496126854
-0.6482412060301508,0.6569044786860823,0.8516651030201469,-0.20964013034101936,-3.6784551539297485
-0.6180904522613067,0.6824706154220271,0.843657142682506,-0.32202838109583065,-3.772713906155021
-0.5879396984924625,0.7077438184866313,0.8322213745018682,-0.43689566896604026,-3.842622113776586
