x,f(x),f'(x),f''(x),f'''(x)
-2.5,22.3125,-47.5,69.0,-60.0
-2.4748743718592965,21.140654197504976,-45.78520712702169,67.50003787783137,-59.39698492462311
-2.449748743718593,20.011421776283285,-44.10791140368898,66.0152268882099,-58.79396984924623
-2.4246231155778895,18.92386537933029,-42.46773214827959,64.54556703113558,-58.19095477386935
-2.399497487437186,17.877057214508763,-40.86428867907122,63.09105830660842,-57.58793969849246
-2.3743718592964824,16.870079054548835,-39.29720031434159,61.65170071462842,-56.984924623115575
-2.349246231155779,15.902022237048069,-37.7660863723684,60.22749425519558,-56.381909547738694
-2.3241206030150754,14.97198766447141,-36.27056617142935,58.81843892830989,-55.77889447236181
-2.298994974874372,14.079085804151193,-34.81025902980218,57.42453473397137,-55.175879396984925
-2.2738693467336684,13.222436688287134,-33.384784265764566,56.04578167217999,-54.57286432160804
-2.248743718592965,12.40116991394638,-31.993761197594246,54.68217974293579,-53.969849246231156
-2.2236180904522613,11.61442464306343,-30.63680914356891,53.333728946238736,-53.366834170854275
-2.198492462311558,10.861349602440209,-29.313547421966273,52.00042928208884,-52.76381909547739
-2.1733668341708543,10.141103083746026,-28.023595351064053,50.6822807504861,-52.1608040201005
-2.148241206030151,9.452852943517579,-26.766572249139948,49.37928335143052,-51.55778894472362
-2.1231155778894473,8.795776603158956,-25.542097434471668,48.0914370849221,-50.95477386934674
-2.0979899497487438,8.169061048941666,-24.349790225336932,46.818741950960835,-50.35175879396985
-2.0728643216080402,7.571902832004582,-23.189269940013443,45.56119794954673,-49.74874371859296
-2.0477386934673367,7.003508068353984,-22.060155896778916,44.31880508067978,-49.14572864321608
-2.022613065326633,6.463092438863541,-20.96206741391105,43.09156334436,-48.5427135678392
-1.9974874371859297,5.949881189274329,-19.894623809687566,41.87947274058736,-47.93969849246231
-1.9723618090452262,5.463109130194804,-18.857444402386168,40.68253326936189,-47.336683417085425
-1.9472361809045227,5.002020637100818,-17.850148510284562,39.500744930683574,-46.733668341708544
-1.9221105527638191,4.56586965033563,-16.872355451660464,38.33410772455242,-46.13065326633166
-1.8969849246231156,4.153919675109881,-15.923684544791584,37.182621650968414,-45.527638190954775
-1.8718592964824121,3.7654437815016113,-15.00375510795563,36.046286709931564,-44.92462311557789
-1.8467336683417086,3.399724604456244,-14.112186459430307,34.92510290144189,-44.321608040201006
-1.821608040201005,3.0560543437866166,-13.248597917493331,33.81907022549936,-43.718592964824126
-1.7964824120603016,2.7337347641729455,-12.412608800422408,32.72818868210399,-43.11557788944724
-1.771356783919598,2.4320771951628455,-11.603838426495248,31.65245827125578,-42.51256281407035
-1.7462311557788945,2.150402531171327,-10.821906113989558,30.591878992954726,-41.90954773869347
-1.721105527638191,1.8880412314807948,-10.066431181183056,29.54645084720083,-41.30653266331659
-1.6959798994974875,1.6443333202410493,-9.337032946353446,28.516173833994095,-40.7035175879397
-1.670854271356784,1.4186283864692788,-8.633330727778436,27.501047953334513,-40.10050251256281
-1.6457286432160805,1.2102855840500713,-7.954943843735739,26.5010732052221,-39.49748743718593
-1.620603015075377,1.0186736317354042,-7.30149161250306,25.51624958965683,-38.89447236180905
-1.5954773869346734,0.8431708131446598,-6.672593352358117,24.546577106638722,-38.29145728643216
-1.57035175879397,0.6831649767646013,-6.067868381578611,23.592055756167774,-37.688442211055275
-1.5452261306532664,0.538053535949393,-5.486936018442254,22.652685538243986,-37.085427135678394
-1.520100502512563,0.40724346892059327,-4.929415581226758,21.728466452867355,-36.48241206030151
-1.4949748743718594,0.2901513187671556,-4.394926388209834,20.819398500037885,-35.879396984924625
-1.4698492462311559,0.1862031934454249,-3.883087757669186,19.925481679755563,-35.27638190954774
-1.4447236180904524,9.483476577914018e-2,-3.3935190078825244,19.04671599202041,-34.67336683417086
-1.4195979899497488,1.549127345943635e-2,-2.9258394571275606,18.183101436832406,-34.070351758793976
-1.3944723618090453,-5.23724809551549e-2,-2.479668423682009,17.334638014191565,-33.46733668341709
-1.3693467336683418,-0.10929213003871263,-2.054625225823573,16.501325724097878,-32.8643216080402
-1.3442211055276383,-0.15579374149792002,-1.650329181829962,15.683164566551351,-32.26130653266332
-1.3190954773869348,-0.19239381817206613,-1.2663996099788877,14.880154541551985,-31.658291457286435
-1.2939698492462313,-0.2195992980330428,-0.9024558285480602,14.092295649099775,-31.05527638190955
-1.2688442211055277,-0.23790755418535214,-0.5581171558151885,13.319587889194722,-30.452261306532666
-1.243718592964824,-0.2478063948660978,-0.23300291005797824,12.562031261836822,-29.849246231155774
-1.2185929648241205,-0.24977406344499364,7.326759044585529e-2,11.819625767026082,-29.246231155778894
-1.193467336683417,-0.2442792384243555,0.3610750274186021,11.092371404762503,-28.643216080402006
-1.1683417085427135,-0.23178103343910772,0.6308000825825557,10.380268175046083,-28.040201005025125
-1.14321608040201,-0.21272899725677696,0.8828234376600053,9.683316077876817,-27.437185929648237
-1.1180904522613064,-0.18756311377750068,1.1175257743732434,9.001515113254714,-26.834170854271356
-1.092964824120603,-0.1567138020340173,1.3352877744445575,8.334865281179765,-26.23115577889447
-1.0678391959798994,-0.12060191619167426,1.5364901195962402,7.683366581651976,-25.628140703517587
-1.0427135678391959,-7.963874554842221e-2,1.7215134915505788,7.047019014671346,-25.0251256281407
-1.0175879396984924,-3.422601453481988e-2,1.8907385720298677,6.425822580237872,-24.42211055276382
-0.9924623115577889,1.5244117285970527e-2,2.0445460427563944,5.819777278351555,-23.81909547738693
-0.9673366834170853,6.838905521817784e-2,2.183316585452452,5.228883109012397,-23.21608040201005
